id,name,host_id,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_log,reviews_minmax,price_zscore,price_log_zscore,review_activity,price_per_person,long_stay_listing,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,review_activity_ordinal
1318212155497719169,LoHi #11 Studio: Stylish & Cozy,587309368,1,11,1.0,11.0,,0,20,1,1,Highland,39.75964060352615,-105.0189751494954,Entire rental unit,2,1.0,1 bath,,1.0,70.17,29.0,365.0,1,5,27,57,152,2,1,0,152,2,58,4070.0,2025-05-31,2025-11-12,4.5,4.0,4.5,4.0,5.0,5.0,4.0,not listed,14,14,0,0,0.15,4.26507138131118,0.0011123470522803114,-0.1174447654420584,-1.1958149264011992,Low,35.085,0,True,False,False,False,0
1318217127843446149,LoHi #14 TopFloor Studio Urban Charm,587309368,1,11,1.0,11.0,,0,20,1,1,Highland,39.759419399381635,-105.01733880589728,Entire rental unit,2,1.0,1 bath,,,,29.0,365.0,1,0,9,9,26,2,1,0,26,2,58,,2025-02-11,2025-08-16,4.5,5.0,5.0,5.0,5.0,5.0,4.5,not listed,14,14,0,0,0.12,,0.0011123470522803114,,,Low,,0,True,False,False,False,0
1318965487108973989,"Denver Retreat-Walkable, Mountain View, Local Vibe",59792835,10,4,2.0,11.0,"Denver, CO",1,3,1,1,Berkeley,39.777573546007005,-105.03234517106507,Entire home,6,1.0,1 bath,2.0,2.0,304.0,2.0,365.0,1,3,11,26,287,31,28,1,107,20,196,59584.0,2025-04-21,2026-06-11,4.94,4.9,4.9,5.0,5.0,5.0,4.9,2024-BFN-0037063,1,1,0,0,2.13,5.720311776607412,0.017241379310344827,0.015949151838382667,0.6756600765430734,Medium,50.666666666666664,0,True,False,False,False,1
1320518547459056296,The Alamo at Alamo Placita,18065556,7,2,6.0,0.0,"Denver, CO",1,2,1,1,Speer,39.72472,-104.97657,Entire home,8,2.0,2 baths,3.0,4.0,328.25,4.0,60.0,1,3,7,10,225,2,2,1,45,0,16,5252.0,2026-05-28,2026-06-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2019-BFN-0009125,2,2,0,0,1.76,5.796817340623391,0.0011123470522803114,0.02978314445716852,0.77404811683171,Low,41.03125,0,True,False,False,False,0
1321058255047863645,Entire Luxury Condo with Pool & Gym,44308494,10,9,1.0,4.0,"Denver, CO",1,1,1,1,Hale,39.7322862,-104.9392677,Entire rental unit,2,1.0,1 bath,1.0,,278.0,2.0,90.0,1,2,2,2,2,24,15,3,2,13,105,29190.0,2025-03-09,2026-06-28,5.0,5.0,5.0,4.96,5.0,5.0,4.92,2025-BFN-0001842,1,1,0,0,1.5,5.631211781821365,0.013348164627363737,0.0011168298553545359,0.5610752879792517,Medium,139.0,0,True,False,False,False,1
1344984095750387564,Cannabis Friendly Bedroom #2,432591856,4,7,1.0,8.0,,0,4,0,1,Northeast Park Hill,39.76674191306659,-104.928777748488,Private room in home,2,1.0,1 shared bath,,1.0,63.0,1.0,1125.0,1,4,32,54,233,75,56,1,148,50,255,16065.0,2025-01-31,2026-06-15,4.91,4.93,4.92,4.88,4.91,4.86,4.91,2024-BFN-0040977,3,0,3,0,4.36,4.1588830833596715,0.04171301446051168,-0.12153506346583962,-1.3323756938618858,High,31.5,0,False,False,True,False,2
1345025320542811044,Cherry Creek/45 S Colorado,347170609,6,1,3.0,8.0,"Denver, CO",0,1,1,1,Cherry Creek,39.71555,-104.94194,Entire home,4,1.0,1 bath,2.0,2.0,243.5,2.0,1125.0,1,10,34,53,320,35,25,3,140,20,175,42613.0,2025-02-16,2026-06-08,4.94,4.89,4.86,4.97,4.97,4.77,4.86,2022-BFN-0000043,1,1,0,0,2.1,5.499215308914927,0.01946607341490545,-0.018564520468278944,0.3913245716579631,Medium,60.875,0,True,False,False,False,1
1345554476238345273,Tennyson Hotspot | Rooftop Views + Downtown Access,675725315,1,5,1.0,2.0,,1,1,1,1,Berkeley,39.77080344480304,-105.04244301580904,Entire home,6,1.0,2.5 baths,3.0,3.0,678.0,2.0,1125.0,1,17,42,72,252,10,8,2,167,6,56,37968.0,2025-05-19,2026-06-14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2024-BFN-0048698,1,1,0,0,0.74,6.520621127558696,0.0055617352614015575,0.22930639882501808,1.7048776200974471,Medium,113.0,0,True,False,False,False,1
1346427725985761132,Denver Urban Oasis | Central | Steps to SoBo,27297609,11,4,9.0,7.0,"Denver, CO",1,16,1,1,Speer,39.7164734,-104.9860029,Entire home,2,1.0,1 bath,1.0,1.0,76.51,30.0,365.0,1,0,0,0,100,2,1,0,33,2,60,4591.0,2025-05-12,2025-11-01,5.0,5.0,5.0,5.0,5.0,4.5,5.0,not listed,7,7,0,0,0.14,4.35040696029342,0.0011123470522803114,-0.11382796077388924,-1.086071269309733,Low,38.255,1,True,False,False,False,0
1346436234679572700,Relax Downtown w/ large Rooftop Deck,1989602,14,3,1.0,4.0,"Denver, CO",1,1,1,1,Five Points,39.75922,-104.98225,Entire home,6,2.0,2 baths,3.0,3.0,485.0,3.0,1125.0,1,9,22,32,114,52,38,1,114,37,255,123675.0,2025-03-09,2026-06-12,4.98,5.0,5.0,4.98,5.0,4.94,4.92,2021-BFN-0000107,1,1,0,0,3.26,6.186208623900494,0.028921023359288096,0.11920493179715543,1.2748149010503045,High,80.83333333333333,0,True,False,False,False,2
